lineage_3,log2FC Large/Lung,log2FC Giant/Large,log2FC Small/Giant,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
2-aminoadipate,0.025379458045938937,0.013391127747494996,-0.008005413983900077,1.0921797660421595,-0.0,0.8983597400260467,0.12053167840141435
3-phosphoglycerate,0.03181175620145012,0.009279131350578812,-0.0834406037445201,2.951213249598405,0.5990307314870428,2.4966578227774843,1.7188297611528518
alpha-glycerophosphate,0.051095507804444315,0.12067767349083534,-0.17930021481165154,1.8550193710828222,-0.0,1.548159831758117,0.7703317701334848
4-pyridoxate,-0.04033748173175989,0.0385971333974435,0.036429486190455176,1.5799465304272635,-0.0,1.310549382632351,0.5327213210077189
aconitate,0.01603441004787592,-0.01987781716081734,-0.0630311866202946,5.767779889057559,3.4155973709461964,4.551635972284411,3.7738079106597793
adenine,-0.002532397903040627,-0.0156822256021297,0.038318541806147785,0.7572512543620619,-0.0,0.6277852073982827,-0.0
adipate,-0.02142734297715502,0.04155390633036056,-0.011379794705856597,0.7294148945328052,-0.0,0.6051190810351162,-0.0
alpha-ketoglutarate,0.00830307199894888,-0.05431943645520798,0.004250714695229459,2.59339052024403,0.24120800213266766,2.1905980087775805,1.412769947152948
AMP,0.020994770455058386,0.00492437193998491,0.07896422461944012,6.077068848783226,3.7248863306718634,4.724886330671864,3.947058269047231
citrate,0.014585650147879877,0.005673817173334523,-0.07155024963347338,3.1123534723130057,0.7601709542016433,2.623493814322099,1.845665752697467
isocitrate,0.024331282369338555,0.004990547883292295,-0.0828543032464844,4.698410287331855,2.3462277692204934,3.851377747540399,3.0735496859157667
CMP,0.04696799201772969,-0.002795640989477732,0.04022135881150347,5.560170297303756,3.207987779192394,4.4675041159575075,3.689676054332875
cystathionine,0.08858697656816814,-0.06165605919725526,0.1338584618321029,7.677419999264424,5.325237481153062,5.927297472481024,5.149469410856391
cytidine,-0.011104469871402772,0.06409471052672096,0.02710112425161197,2.8775187631695593,0.5253362450581966,2.4391500974419134,1.661322035817281
dCMP,0.027214055146594397,-0.0184087739045819,0.04918264482588491,3.925327151768517,1.5731446336571546,3.2359024653387287,2.4580744037140962
DHAP/glyceraldehyde 3P,0.03391127959248101,0.033693037371783294,-0.1179000741988961,2.983957884656599,0.6317753665452365,2.5182660917177184,1.740438030093086
erythrose-4-phosphate,0.03456161244155542,-0.050105864440577595,-0.0007930143323672445,1.9281163632183762,-0.0,1.6093576005939634,0.8315295389693312
F1P/F6P/G1P/G6P,0.04881697228938487,-0.0744884452984618,-0.0059943113658226825,3.1737197421134624,0.8215372240021,2.669875047632966,1.8920469860083335
hexoses (HILIC neg),-0.023267636852418776,-0.0569615921367142,0.007210782392739364,1.2616670779708685,-0.0,1.0365893582243135,0.2587612965996813
fumarate/maleate/alpha-ketoisovalerate,-0.0058695306065953915,0.04695990955962887,-0.04705103078418509,0.5181468166552643,-0.0,0.4331360269469156,-0.0
glucuronate,-0.004720230989462587,0.0005938723729922274,-0.04728011446946229,4.512389402866736,2.1602068847553735,3.7220037136498068,2.9441756520251747
glutathione oxidized,0.0031179440172550395,0.03874928860093127,-0.12552147888202245,4.59304163478953,2.240859116678167,3.7723380337204224,2.99450997209579
glutathione reduced,0.00663459031162219,0.004979923104051906,-0.06738240970398006,2.642541679700626,0.29035916158926367,2.2315025962583457,1.4536745346337134
GMP,0.0417476943006589,-0.04837051405334697,0.06732472509629567,2.1304386466775647,-0.0,1.7868563003281195,1.0090282387034872
guanosine,0.08160930855381565,-0.10597796164269295,0.08253391274436293,2.3062495715564197,-0.0,1.940838787711302,1.1630107260866698
hippurate,-0.03396259397993831,0.013780173144166212,-0.05072615367262223,3.3080979854842085,0.9559154673728459,2.7754594029147146,1.9976313412900824
hypoxanthine,-0.05364986573576138,-0.0917669973424869,0.21797314920084468,2.9566293433972546,0.6044468252858922,2.4966578227774843,1.7188297611528518
inosine,0.03660159700006222,-0.03683803429734256,0.08814102464834475,5.6935656499025535,3.3413831317911913,4.517474390846872,3.73964632922224
kynurenine,0.05592051080739305,-0.10102989349343208,0.0756153780802673,2.6581897214879127,0.30600720337655,2.235426129090843,1.4575980674662106
lactate,0.01026486653231041,-0.045620118426496874,-0.04036746414361,6.25019732074608,3.8980148026347177,4.820887449804967,4.043059388180335
lactose,0.027663552462841724,-0.12926768448797163,0.023141510976985396,2.107387253277332,-0.0,1.778330369732803,1.0005023081081708
malate,-0.00228739043186255,0.05679155886769414,-0.06668518960526074,0.49383041209758954,-0.0,0.41116083820414334,-0.0
NAD,0.02553227052509868,-0.07661460389637331,0.0020357962758522866,3.861886029325191,1.5097035112138282,3.199899591242342,2.4220715296177096
NADP,0.0022674788842432948,-0.02064447152444611,-0.037027424613850175,1.6885235030510195,-0.0,1.4045268466858187,0.6266987850611864
oxalate,-0.019864596629328178,0.07021363434223742,0.02134470061331388,9.793267380451972,7.4410848623406105,7.4410848623406105,6.6632568007159785
pantothenate,0.028212608495466304,-0.046548915104941614,0.06791026206879762,1.7655982015210598,-0.0,1.474113523763309,0.6962854621386767
PEP,0.03438836768216414,-0.02219238565929255,-0.020688296940998097,0.4823517456827389,-0.0,0.4105226438904497,-0.0
ribose-5-P/ribulose5-P,0.055141427480982504,-0.0469827471251269,-0.04167771277771303,2.365975982842944,0.01379346473158141,1.9869213183312802,1.2090932567066477
sorbitol,-0.029287205875590545,-0.04397593625904389,-0.029256495480119125,6.910935790172139,4.558753272060776,5.257723276396795,4.479895214772163
succinate/methylmalonate,-0.005483425022271167,0.014364305269589244,-0.06041021046391258,3.91407475914807,1.5618922410367078,3.2339900989724253,2.456162037347793
sucrose,0.031123830963131288,-0.07827225581440725,0.03776280337324363,0.19713086733733812,-0.0,0.17738680914158095,-0.0
