ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3
PaChr2g09653-t1_9653,-3.1280638279684876,-2.5529774068757694,-3.0543745990448588,-2.333408122436598,-2.4505736950824013,-2.538698298133459
PaCtg0769g29761-t1_29761,-2.7962093201106524,-2.790419723048679,-2.7851646877950986,-2.4020384544399325,-2.4842777028215783,-2.4152423485005
PaChr2g10300-t1_10300,-1.4510445561393654,-2.474436846355288,-2.7478860723948815,-0.28728999248026454,-0.4990909659115575,-0.6556373980237657
PaChr10g05077-t1_5077,-2.6419992342873933,-2.7140822506317654,-2.67039015218368,-2.9366514946801074,-2.7162582891667473,-2.581214844708176
PaCtg2128g36447-t1_36447,-2.6419992342873933,-2.6979963596549363,-2.6627507798781487,-3.001006561226523,-2.6613129801866924,-2.6945372411313935
PaChr1g03549-t1_3549,-2.5314205961172176,-2.6574332223712456,-2.585484513951298,-1.1323626036653096,-1.627205524618857,-1.4775448059459173
PaChr12g07342-t1_7342,-2.5949198711109855,-2.540182900085112,-2.560029623045483,-2.7756422515686943,-2.6194361550438297,-3.2234846810523954
PaChr1g02832-t1_2832,-2.5118490418829573,-2.597673698563101,-2.54775448700673,-2.563305883628815,-2.766786461119548,-2.469824489256234
PaChr3g13796-t1_13796,-2.4783417205951985,-2.6289897294251268,-2.543726107131234,-2.853142894458727,-2.7459964369850565,-2.4418441049606177
PaChr10g04597-t1_4597,-2.5476172631418437,-2.5519820752481475,-2.543726107131234,-2.62248847139018,-2.9124844393569482,-2.7913192382990535
PaChr7g20330-t1_20330,-2.5904383989147504,-2.447633771548279,-2.5069262647738775,-2.527113098421077,-2.468707155969861,-2.59014648656146
PaChr5g18154-t1_18154,-2.4267770728775018,-2.495460041104015,-2.455283763149817,-2.6020423706804867,-2.3067529862034672,-2.510847206121809
PaCtg0266g26298-t1_26298,-2.5004438518948047,-2.4252304044011455,-2.455283763149817,-2.4020384544399325,-2.4131719174175097,-2.2367303538432988
PaChr11g05994-t1_5994,-2.474745451164412,-2.437917994293675,-2.45021709322609,-2.4427285304635302,-2.4083200771683893,-2.6945372411313935
PaChr7g20121-t1_20121,-2.3980508619589296,-2.4315368819344823,-2.4097625195667614,-2.486581445632393,-2.3913215933891916,-2.555295979175399
PaCtg3729g40111-t1_40111,-2.443421544305686,-2.377259739452063,-2.4035634273093995,-2.5449136759250144,-2.777495349377402,-2.402415209517984
PaChr5g16395-t1_16395,-2.4367019487580484,-2.346570342496563,-2.3838943917232394,-2.753922462999754,-2.3859872340661448,-3.015098025984438
PaChr8g21803-t1_21803,-2.2759444268222406,-2.4990460686975866,-2.3735922055469465,-2.594073304045039,-2.6569770238730213,-2.448704162266745
PaCtg1078g31485-t1_31485,-2.278439877348915,-2.460867698626869,-2.3592058458642464,-2.5449136759250144,-2.6035462999424865,-2.7781603519333182
PaChr7g20976-t1_20976,-2.298817201804585,-2.4315368819344823,-2.35778791712435,-2.570837907860116,-2.5881042686528026,-2.765336496098215
PaChr3g13959-t1_13959,-2.4502261166596413,-2.2635875195540414,-2.342429347588116,-2.4705239913887564,-2.7114588798238852,-2.304044144664884
PaCtg0124g25655-t1_25655,-2.3419703194035923,-2.322677300988088,-2.327490684053176,-2.451842107943491,-2.6114335411684166,-2.0236287025715525
PaChr3g12707-t1_12707,-2.3308614356289685,-2.2874496779882434,-2.303890476408004,-2.5558753531580645,-2.4811288828315807,-2.248600101839932
PaChr4g15204-t1_15204,-2.266072888672392,-2.3047836275882174,-2.281259778884396,-2.1965951662480108,-2.3625790013115577,-2.336792329695
PaCtg0242g26198-t1_26198,-2.2759444268222406,-2.2948123575370722,-2.281259778884396,-2.1965951662480108,-2.087176244143029,-1.9520241126303337
PaCtg1960g35781-t1_35781,-2.385756083219205,-2.1913502836243497,-2.2739174179398356,-2.0032021822506505,-2.3255654247901556,-2.185135460474593
PaChr11g06238-t1_6238,-2.278439877348915,-2.2407023101834884,-2.254799810006343,-2.4162377328098312,-2.372864873368618,-1.98902600715826
PaChr3g12471-t1_12471,-2.306655845295176,-2.127280037802257,-2.2042978067422716,-1.360511296698102,-1.6587582776639789,-1.2916697309776337
PaChr5g17145-t1_17145,-2.251585329411003,-2.1217956691098085,-2.178086268218055,-1.4525544822758223,-1.536678350608013,-1.3405519136127033
PaCtg1160g32022-t1_32022,-2.2421312303622387,-2.114563481085627,-2.169948981551852,1.0536834445511236,-0.7378651348647111,0.31916563380542967
PaChr10g04768-t1_4768,-2.165547399978136,-2.173151516467713,-2.1659237433832774,-1.9671760908229923,-1.6571439477126038,-1.6660225551024896
PaChr3g12552-t1_12552,-2.165547399978136,-2.173151516467713,-2.1659237433832774,-1.9671760908229923,-1.6571439477126038,-1.6660225551024896
PaChr5g17316-t1_17316,-2.112798123871531,-2.2165605416935965,-2.159938930621533,-2.1584846736390224,-2.226864970259832,-1.9064680259900997
