ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3
PaChr2g09653-t1_9653,2.1,,2.65,19.9,16.1,10.7
PaCtg0769g29761-t1_29761,5.7,6,5.85,17.3,15,14.1
PaChr2g10300-t1_10300,,12.9,6.45,582.2,439.6,327.2
PaChr10g05077-t1_5077,8.4,7.3,7.85,5.1,9,9.7
PaCtg2128g36447-t1_36447,8.4,7.6,8,4.3,10.2,7.4
PaChr1g03549-t1_3549,10.9,8.4,9.65,166.7,75.7,86.3
PaChr12g07342-t1_7342,9.4,11.1,10.25,7.6,11.2,1.5
PaChr1g02832-t1_2832,11.4,9.7,10.55,12.3,8,12.5
PaChr3g13796-t1_13796,12.3,9,10.65,6.3,8.4,13.3
PaChr10g04597-t1_4597,10.5,10.8,10.65,10.8,5.6,5.8
PaChr7g20330-t1_20330,9.5,13.7,11.6,13.3,15.5,9.5
PaChr5g18154-t1_18154,13.8,12.3,13.05,11.3,21.6,11.4
PaCtg0266g26298-t1_26298,11.7,14.4,13.05,17.3,17.4,20.6
PaChr11g05994-t1_5994,12.4,14,13.2,15.9,,7.4
PaChr7g20121-t1_20121,14.7,14.2,14.45,14.5,18.2,10.3
PaCtg3729g40111-t1_40111,13.3,16,14.65,12.8,7.8,14.5
PaChr5g16395-t1_16395,13.5,17.1,15.3,8,18.4,3.1
PaChr8g21803-t1_21803,19.1,12.2,15.65,11.5,10.3,13.1
PaCtg1078g31485-t1_31485,19,13.3,16.15,12.8,11.6,6
PaChr7g20976-t1_20976,18.2,14.2,16.2,12.1,12,6.2
PaChr3g13959-t1_13959,13.1,20.4,16.75,15,9.1,17.9
PaCtg0124g25655-t1_25655,16.6,18,17.3,15.6,11.4,31.6
PaChr3g12707-t1_12707,17,19.4,18.2,12.5,15.1,20.1
PaChr4g15204-t1_15204,19.5,18.7,19.1,26.1,19.3,16.7
PaCtg0242g26198-t1_26198,19.1,19.1,19.1,26.1,33.1,36.3
PaCtg1960g35781-t1_35781,15.1,23.7,19.4,37.7,20.8,22.9
PaChr11g06238-t1_6238,19,21.4,20.2,16.8,18.9,33.8
PaChr3g12471-t1_12471,17.9,27,22.45,115.5,71.7,118.6
PaChr5g17145-t1_17145,20.1,27.3,23.7,99.2,88.3,109.2
PaCtg1160g32022-t1_32022,20.5,27.7,24.1,3224.7,310.9,1299.3
PaChr10g04768-t1_4768,24,24.6,24.3,40.3,71.9,61.8
PaChr3g12552-t1_12552,24,24.6,24.3,40.3,71.9,61.8
PaChr5g17316-t1_17316,26.7,22.5,24.6,28.1,25.3,39.6
PaChr3g13082-t1_13082,28.9,21.6,25.25,20.5,24.9,12.9
PaChr6g19653-t1_19653,21.8,29.8,25.8,54.9,63.2,132.9
PaCtg0460g27401-t1_27401,31.6,20.4,26,49.3,37.3,57.6
PaChr7g20881-t1_20881,27.2,26.2,26.7,63.5,34.6,73.9
PaChr1g00075-t1_75,24.7,28.7,26.7,17,19.6,18.9
PaChr1g02622-t1_2622,26.9,26.9,26.9,36.3,38.9,74.1
PaChr6g19404-t1_19404,24.3,29.8,27.05,148.5,191.3,502.4
PaChr5g15887-t1_15887,29.7,28.8,29.25,606.1,299.3,274.5
PaChr8g22345-t1_22345,28.1,31.4,29.75,59.6,40.6,54.4
PaCtg0940g30727-t1_30727,31.1,28.5,29.8,35.6,45.6,24
PaChr2g09933-t1_9933,32.1,28.8,30.45,36.8,43,17.1
PaChr1g02796-t1_2796,32.3,29.4,30.85,23.2,16.7,36.8
PaChr5g16021-t1_16021,29.2,35.5,32.35,22.6,28,51.8
PaChr1g00203-t1_203,29.2,35.5,32.35,22.6,28,51.8
PaChr1g00513-t1_513,30.4,34.8,32.6,32.5,32.8,23.3
PaChr5g16891-t1_16891,35.5,30.8,33.15,51.2,53.5,34.9
PaChr10g04783-t1_4783,36,31,33.5,42.3,34.2,42.9
PaChr1g00788-t1_788,33.5,34.4,33.95,36.1,30.8,34.2
PaChr3g12369-t1_12369,36,34,35,20.1,24.4,17.9
PaChr4g14640-t1_14640,35.2,36.2,35.7,346.7,107.4,193.4
PaCtg1007g31151-t1_31151,39.1,33.8,36.45,42.5,39.1,23.1
PaChr5g17315-t1_17315,37.4,37.5,37.45,30.3,42.9,57.6
PaChr1g00987-t1_987,41.3,35.4,38.35,40.1,34.2,28
PaChr1g02461-t1_2461,37.6,40.5,39.05,38.3,33.8,45.3
PaChr6g19490-t1_19490,33.4,47.4,40.4,27.6,27.8,21
PaCtg0119g25590-t1_25590,38.1,43.9,41,,37.6,35.5
PaCtg3343g39382-t1_39382,44.5,39,41.75,29.9,40.8,21.9
PaChr6g19492-t1_19492,43.6,44.8,44.2,278.8,155.7,345
PaChr3g13554-t1_13554,40.4,49.4,44.9,44.4,75.6,103.7
PaChr3g13620-t1_13620,46.5,43.8,45.15,50.5,44.4,47.5
PaChr9g23909-t1_23909,37.8,52.6,45.2,53.7,66.7,59
PaCtg3936g40424-t1_40424,51.1,39.4,45.25,42.3,41.8,14.3
PaChr2g08157-t1_8157,43.6,49.3,46.45,34.4,57,30.5
PaChr3g13470-t1_13470,41.7,51.9,46.8,48,41.4,52.5
PaChr6g19774-t1_19774,43.6,50.4,47,43.8,49,81.8
PaChr5g17170-t1_17170,42.7,51.6,47.15,52.8,46,34.8
PaChr1g01476-t1_1476,49.3,45.5,47.4,43.4,68.6,60.3
PaChr2g09673-t1_9673,49.7,45.3,47.5,63.1,68.9,75.1
