Accession,A_1,A_2,A_3,B_1,B_2,B_3
UN092795,9.2,18.6,,34.1,41.8,34.5
UN098241,9.9,23.7,,81.8,62,111
UN069749,10.4,28.8,46.5,168.2,51,190.1
UN012237,12.5,92.2,109.6,119.4,403.7,130.6
UN096177,12.9,71.7,,47.5,20.7,34.9
UN088719,16.2,117.7,43.2,52.9,17.5,57.3
UN058913,18,20.8,89.6,46.4,41.3,41.4
UN078401,19.6,18.1,53.1,24.1,44.5,38.2
UN068662,21.9,21.2,96.3,23,33.5,25.6
UN091480,23.8,30.5,,15.3,37.2,30.8
UN101693,27.2,19,,49.4,91.4,50.6
UN101411,30,23.3,,48.7,25.3,41.6
UN086471,30.3,93.8,129.5,37.6,52.8,73.7
UN052164,32.1,72.4,46.5,61.9,23,32.6
UN055437,35.3,26.2,,29.7,45,32.5
UN069921,35.6,30.2,99.6,31,74.9,46.1
UN083416,36,92.3,,40.8,18.4,47.8
UN111539,36.7,84.4,49.8,122.6,51.4,150.5
UN084156,36.7,21.4,,64.6,26.6,37.9
UN079926,36.7,67.9,,19,,21.1
UN113463,37.4,71,49.8,84.9,51.4,76.1
UN097052,37.4,160,,194.5,52.4,292
UN109538,38.8,18.8,,24.9,20.7,29.5
UN102982,39.3,73.1,119.5,120.3,93.7,135.6
UN076553,39.5,15.3,,64.6,12.4,68.7
UN078512,39.5,164.2,,113.8,82.7,130.8
UN063934,40.2,170.8,53.1,34.1,44.1,28
UN072494,40.4,34.9,106.2,47.3,37.7,60.4
UN072772,42.7,32.7,79.7,195.3,121.7,109.7
UN069453,43.9,30,102.9,46.4,78.5,41.6
UN063317,44.8,46.6,96.3,160,122.6,108.9
UN095602,45,121.9,112.9,96.2,72.1,100.6
UN063835,46.2,51.3,96.3,97.3,74.9,128.5
UN113709,46.9,63.5,,89.9,56.9,59.7
UN068684,47.3,127.1,,22.8,15.2,17.7
UN075846,49.4,78.2,119.5,69.2,43.6,44.2
UN073010,49.6,203.8,,48.1,34,44
UN074547,49.6,10.8,554.4,24.7,28.5,26.1
UN109425,49.9,53.4,179.3,120,111.6,135.1
UN104100,50.8,51.2,172.6,76.5,113.4,64.5
UN072908,50.8,138.3,89.6,88.9,34.4,102.8
UN082570,51,197.1,889.7,539.2,575.9,2314.4
UN111839,51.3,69.6,,39.1,38.6,57.6
UN061555,57,81.1,106.2,140.8,72.1,68.8
UN098214,57,60.7,99.6,69.9,32.6,64.9
UN090831,57.7,77.1,53.1,145.8,137.8,171.8
UN086505,58,38.7,,44.8,51.4,42.9
UN087955,58.4,216.5,116.2,120.7,40.9,112.7
UN078682,59.1,79.2,83,96.4,75.3,112.7
UN088893,60.5,95.3,46.5,176.9,141.4,151.1
UN103435,60.5,134.7,66.4,79.3,56.5,82.6
UN083532,61.9,28.7,146.1,30.1,29.9,36.2
UN095401,63.7,211.6,49.8,131.1,62.5,149.6
UN113903,63.7,60.6,564.4,86.6,106.1,76.7
UN056348,64.7,38.7,53.1,71.5,122.6,102
UN080696,65.1,90.7,,36.8,29.9,41.4
UN063423,65.6,183.4,122.8,235.9,131.8,174.6
UN073062,65.8,66.6,,36.8,51.4,47.6
UN079755,67,90.8,458.2,63,85,141.6
UN104564,67.2,282.7,312.1,325.4,165.3,337.1
UN099382,67.7,362.8,86.3,194.3,154.8,196.6
UN075383,68.4,106.2,202.5,87.6,84,160.6
UN067320,69.5,65,79.7,57.5,22.5,34.9
UN071445,69.5,91.4,,20.1,39.5,23.7
UN081563,70,209.4,49.8,465.8,104.3,307.4
UN087627,70,116.7,132.8,549.4,164.9,342
UN067061,72,446.2,285.5,330.2,664.5,298.9
UN092403,72,38.7,132.8,70.1,65.2,57.6
UN088127,72.5,131.4,53.1,87,62.5,75.9
UN114620,73,257.4,59.8,88,38.1,89.4
UN054053,73.9,16.9,312.1,19,28,25.4
UN064327,74.6,216.8,172.6,1050.1,148.8,1802.1
UN101401,74.6,213.5,152.7,406.8,191.5,432.2
UN074545,74.6,72.3,136.1,154.8,118,151.9
UN103484,76.4,45.6,112.9,37,48.2,50.6
UN023912,76.7,78.5,109.6,96.6,156.1,72
