lineage_3,Non_Small Cell Lung Cancer,Non_Small Cell Lung Cancer,Non_Small Cell Lung Cancer,Non_Small Cell Lung Cancer,Non_Small Cell Lung Cancer,Non_Small Cell Lung Cancer,Non_Small Cell Lung Cancer,Non_Small Cell Lung Cancer,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Squamous Cell Carcinoma,Lung_Adenosquamous Carcinoma,Lung_Adenosquamous Carcinoma,Lung_Adenosquamous Carcinoma,Lung_Adenosquamous Carcinoma,Lung_Adenosquamous Carcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Lung_Adenocarcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Large_Cell Lung Carcinoma,Giant_Cell Carcinoma of the Lung,Giant_Cell Carcinoma of the Lung,Giant_Cell Carcinoma of the Lung,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer,Small_Cell Lung Cancer
2-aminoadipate,5.5892373,6.0424314,5.7895451,5.9624148,5.8758663,5.6547755,5.8979635,5.8881943,5.9149783,5.5970103,6.0235078,5.9151273,5.9709061,5.7744187,6.3392608,5.8693031,5.5773338,5.9027172,5.8221954,5.6271318,5.6425085,5.8797748,6.024569,5.2236641,5.7997741,5.919587,5.904561,5.886481,5.7866163,5.7352117,6.0150519,5.712847,5.9650314,6.0044697,5.6247012,5.8675431,6.5242999,5.0692358,5.9359073,5.9261269,5.7068249,5.7030923,5.5739978,5.8744947,5.8411023,5.8450305,5.5899964,6.0041623,6.0201046,6.0081836,5.9239009,5.9253063,5.9139699,5.6758383,5.9659395,6.180538,5.7124582,5.8032552,6.0536365,6.0060274,5.5439923,5.9137384,5.8922157,6.657151,6.3507224,5.7197531,6.4880016,5.8489766,5.8668097,6.1024784,5.9143451,5.7543713,5.6917277,5.7406596,5.6228862,5.7472278,5.9676682,5.8845435,6.2811408,6.0319217,5.7236319,5.777397,5.6630793,5.3949111,5.8695608,5.5925742,6.1053125,5.5496771,5.5502477,5.4953303,5.9723791,6.0095263,5.5905492,6.5478525,6.0984419,6.0108688,6.0389305,6.1065383,5.9582488,6.2992387,6.0471443,5.7970542,6.154743,5.5580582,5.8759334,5.9264491,5.9915895,6.3874221,6.0620759,6.0635657,5.9694975,5.5582287,5.7862292,5.8853588,6.5704883,5.9319844,6.3404111,5.7416614,6.0255734,5.8366875,6.3552818,6.0578586,6.0077566,5.8967869,6.0988828,5.9241723,5.8518834,5.9774019,5.9441016,5.8195715,6.1127272,6.893753,6.1332213,5.5790821,6.2471308,6.3354516,6.1885102,5.887013,5.1927009,5.9139184,5.9846157,5.8863981,5.9304973,5.7713059,5.6804602,6.5487273,6.2824697,5.9847041,7.0835875,5.8760343,6.1160359,5.8205854,5.7851439,5.7307754,5.8886574,6.0326032,5.9812794,5.8800415,6.4099232,5.8149919,5.8890664,5.5780787,5.8386462,5.8729696,6.1206395,6.1948265,5.7068855,5.8819352,6.2983233
3-phosphoglycerate,5.8863238,5.7550897,5.8013708,5.9926404,6.1494827,6.2668325,5.314502,5.7083168,5.4209855,5.5578381,6.1478303,6.3553507,6.0035829,5.8258092,5.979137,6.0300495,5.8300266,6.0184101,6.1284245,5.8089938,5.988621,5.9231035,5.573253,6.2745388,5.9445947,5.6382916,5.6724015,5.6558858,6.0332176,5.8055273,6.2076251,5.8739827,5.8735296,5.4715504,5.8868995,5.8422163,6.2414661,5.8839763,5.7639944,5.8590762,5.7454627,5.7512515,6.2545571,6.2382706,5.7915493,5.7659781,6.1696375,6.2991665,5.7696777,6.050097,6.0675418,5.4208203,5.9314206,5.9382455,6.0328174,5.7891463,5.597973,6.2887116,5.6923764,5.8375847,6.1139026,5.4147317,6.0999225,5.6656232,6.2372019,5.6562493,6.1154196,6.4771364,5.672342,6.0021785,5.904267,6.0131375,5.8442275,6.4208553,5.9370273,6.1411275,6.0983684,5.9046216,5.4306468,5.8219145,6.0182034,6.0231215,5.8675227,6.2318442,6.5757831,5.4341336,6.1875118,5.9733757,6.1092031,6.2374433,6.3050124,6.5694934,6.1817886,5.9487712,6.129124,6.2557835,5.9781677,5.8250608,6.2739647,6.0949685,5.522614,6.1377404,5.6543458,6.1367639,5.9406899,6.4292457,6.3788977,6.557814,5.995392,5.8727488,5.9867279,5.9208867,6.0287991,6.2553022,6.2787491,5.7975603,6.1349579,5.9957787,6.2515272,6.3120268,5.9259964,5.6282605,5.4292616,5.5624694,6.0457785,5.4967655,6.3847876,5.8464247,6.1721546,5.1700051,6.0341979,6.1187883,5.2798369,5.8826682,5.8486473,5.5716686,4.9752553,5.6812996,5.7876645,5.6908749,5.568281,5.5748813,5.7011666,5.891389,6.0578896,5.8059355,6.5327599,5.5271354,5.902576,5.4458127,5.7239106,6.026196,5.4888342,6.278379,5.7246122,5.6389238,5.6449015,5.762557,5.8499984,5.7149778,5.7930175,5.6587752,5.9315668,6.3542239,5.9463443,6.1344753,5.5079545,5.3802721,5.7416969
alpha-glycerophosphate,5.7880609,5.4153665,5.1053539,6.2962222,5.2881952,6.052589,5.132103,5.3444459,5.5316745,5.8503644,5.4818467,5.7310324,5.4024385,5.6083046,5.4092069,5.9705996,5.7551324,6.5175481,5.4068098,4.9695729,5.2599459,5.6574141,6.0081523,6.321497,6.272828,6.1293279,5.9049104,5.9751079,5.8411307,4.707957,5.748626,5.541042,6.406816,5.8375206,5.5299647,6.0283221,5.5412301,5.1214534,5.7455991,6.0451105,5.492329,5.4184938,5.5865763,5.8118613,5.9872179,5.5590591,5.4271572,7.0559469,5.9541985,5.2728473,5.9694761,6.1897027,6.133975,5.8270427,5.4981792,5.8571741,5.4733619,6.1147233,5.9961641,5.7455265,6.3434864,5.2206551,5.8948335,5.4853168,5.9421148,5.1886651,5.6279898,5.5776209,5.7428651,5.6668142,6.1739407,5.522322,5.6865988,5.9618146,6.1631673,5.6724583,5.6862294,5.701968,5.6904767,5.4512823,5.4126881,5.9683407,5.3936614,5.4676244,5.672326,5.6523335,5.6485047,6.0726237,5.983973,5.8884733,5.670526,5.7072043,6.8673052,6.3653375,5.4891222,5.4059996,5.372852,5.6123094,5.4973926,5.7762298,5.7225186,5.7294948,6.1072574,6.4946376,5.4095878,6.5130765,5.700402,6.6817149,5.8982406,5.8101415,5.754996,5.6086728,5.9309828,5.9752076,5.578428,5.9244315,6.5090133,6.2438238,6.6749446,6.2044986,5.351006,5.5104727,5.8929617,5.4955696,5.1742608,5.078642,5.9633538,5.1273453,5.9097137,5.3336803,5.8968963,5.9139496,5.6794169,5.8460725,5.2711452,4.967899,5.3701227,6.1016154,5.8564965,6.4562366,5.3961135,5.5412593,5.4376259,5.7523216,6.0116039,6.9283596,5.1641419,6.0280988,5.6048244,4.6891433,5.40039,6.6861608,6.2497088,5.9736364,5.8839763,5.1592623,5.1827373,5.9165365,5.7704626,5.6948272,6.433947,5.9215057,6.3053571,5.7096486,5.7914572,6.2361858,6.1030181,5.4726016,5.1084218
4-pyridoxate,6.7442741,5.6129028,6.0710186,5.9163861,5.7046062,5.3540811,5.6852579,5.9499403,6.6189563,6.5125215,6.2310985,5.7426334,5.7942523,5.521792,5.5887386,5.6242273,5.8251107,5.3974957,5.6521388,6.348524,5.6427738,5.6691576,6.1240108,5.7424857,5.5530564,6.249623,6.116579,6.4579516,5.4743677,5.6028113,6.1545689,5.7777898,5.926957,5.7597526,5.771727,5.8091764,5.7060489,6.3137997,6.2979199,6.2070746,6.0685922,6.0638684,6.2143623,5.8079896,5.2350994,6.2393743,5.4235551,5.6294541,5.5371016,5.91145,6.0113334,5.9672959,5.7226364,5.99101,5.6678871,5.6109453,5.9842701,5.6292799,5.7425607,5.9211778,5.4643394,6.4046509,5.6717676,5.6783656,5.5749198,5.4437025,5.8080508,6.1189081,5.9651204,5.6541119,5.7707577,5.5695576,5.9019117,5.8366571,6.1403984,6.2404138,5.6068337,6.30152,5.7168175,5.5367136,5.426443,6.2950251,5.8157532,6.101758,5.9774948,5.8004462,5.8168879,5.9834217,5.4015939,5.6519226,5.7134231,6.0067793,5.8019625,5.6906143,5.4120163,5.7829886,5.8190016,6.3337725,6.2552468,5.6926099,5.8062226,5.9074981,5.5180606,6.1020496,5.6745324,5.3481655,5.476159,6.1947366,5.2227714,5.3918828,5.6153931,6.1204234,5.9630193,5.4144524,5.5632259,6.1227857,6.3217339,5.2180934,6.0079098,6.5465144,5.7691064,6.097088,5.2082885,6.1981329,6.2657603,6.5509611,5.9831275,6.1080735,5.9833046,5.9044133,6.0005322,5.9403924,5.5461936,5.9321458,6.4848453,5.3671302,6.7325529,5.7498451,5.9618562,5.7857122,6.1460327,5.8483746,6.0272695,5.7438747,5.6783265,5.5098635,6.3235928,5.7196934,5.8886913,6.021261,6.2475571,5.5922242,6.2075966,5.9062771,5.9177326,6.8937313,6.2122233,6.3667386,6.3112113,6.0288335,5.7935497,6.5431615,5.7573779,6.1743093,6.1643068,5.3305282,5.8836636,5.7033222,5.8839763
aconitate,5.72614,6.2225262,5.8556106,6.0439835,5.7145581,5.6786192,5.462917,5.3454717,5.3473684,5.7807757,6.1135297,5.9988008,5.822887,6.1388767,6.0850198,5.5215834,5.6394486,5.9864561,5.885579,5.120929,5.8410104,5.8358812,5.6203815,6.0498094,6.0913223,5.6762879,5.8938388,5.5601543,5.8432508,5.7042156,6.1828149,5.9217221,5.6583757,5.8192225,5.805052,5.8538517,6.0762654,5.2839436,6.006164,6.1366366,5.851867,5.7424309,6.2992816,5.4817075,5.8652316,5.8506409,6.1656628,6.1667158,5.8147712,5.622797,5.9636443,6.0773017,6.170564,5.7239555,6.0492028,6.153334,5.5342917,6.0266157,6.0535571,5.7716432,5.9103678,5.4705311,5.9585203,5.7297872,6.4114178,5.5419159,6.0309694,5.4692062,6.1497366,5.9097164,5.8844774,5.7458565,6.0579944,6.0658059,5.5853503,5.8420357,5.9073241,5.8528285,5.8267279,5.7313641,5.7936313,5.9291487,6.2049114,5.4243747,5.9081609,5.9785537,5.8054858,6.0916661,5.8085314,6.1249461,5.8827074,6.1135677,5.682634,5.9197138,6.4137692,5.8303654,5.666485,5.683713,5.9356115,5.9891279,5.6622396,6.4114454,6.1410138,6.0052954,6.0493878,6.2175577,5.9135601,6.0462142,6.2421158,5.9192301,5.8522838,5.4463507,5.943144,5.3395672,5.8614535,6.1588449,6.0998127,5.7213953,5.7498788,5.4824292,5.1902658,5.7367506,5.472359,5.4054802,5.4308082,5.5519417,5.3749577,5.356037,6.0519029,5.3342053,5.5136185,5.6973762,5.830161,5.8982519,5.362544,5.4154853,5.9558168,5.4995365,5.1845378,5.9202818,5.3632564,5.6650257,5.4058585,5.7640865,5.8951125,5.760451,5.6014812,5.6083721,5.3287977,4.9600783,5.4503429,6.4690097,5.4859651,5.7281073,5.6778872,5.353397,5.6349382,5.7227599,5.1292308,5.5811466,5.7110733,5.3172383,6.1171717,6.0111875,5.4885364,6.0241672,5.5867301,5.9384521,5.8876628
adenine,5.7342332,6.2180865,6.7279437,5.8839763,5.9524252,5.4409584,5.9839323,6.2114325,5.6253326,5.746993,5.1919125,5.7102732,5.8439999,6.1025885,5.7969108,5.8623706,6.1949555,5.7737622,6.1289695,6.4837577,5.7725077,5.9489339,6.5199977,6.1422626,5.8356591,5.8508767,5.4811318,5.7166037,5.7898964,5.9422465,5.8542201,5.5702633,5.8796625,5.7492606,5.6759169,5.9361571,5.6788687,5.6370619,6.5959753,5.7392307,5.7936068,6.0317185,5.7304229,6.4743171,6.2398913,6.2276561,5.4750138,5.6735304,5.8481479,5.8557372,5.9017769,5.4328859,5.8593027,5.8177609,5.8225866,5.7452691,5.5283945,5.8839763,5.8064569,5.7494644,5.7614799,6.8082876,6.1030529,5.9362123,5.555252,5.8148784,5.8703505,5.8239708,5.9717275,5.953206,5.9142674,5.9448892,5.9815942,5.7818959,5.5588521,6.4481923,5.844007,6.6801472,5.8660687,5.9119181,5.6790385,6.3777832,5.8394235,5.7109851,5.8472444,5.5623403,6.1753644,5.7024901,5.997302,5.7801304,5.8113256,5.1307545,6.0052251,5.9122134,5.5519731,5.8515456,5.9202022,5.8839763,5.6362562,5.9693842,5.8307347,5.7331106,5.783104,5.8187346,5.8313838,6.4780852,6.0147753,6.5452561,5.7566138,5.7827234,5.5901386,6.1265345,5.5414162,5.7333002,5.6966564,5.3870366,5.3750017,6.2170098,5.8076266,6.2066878,5.5945859,5.964063,6.3290852,5.647883,5.4888243,5.5794029,6.2735787,6.2994636,5.8839763,5.755381,5.8685293,5.6827608,6.2280148,5.8722643,6.2263316,5.6279737,5.7128831,6.3229866,6.228425,5.9787539,6.3472774,5.875548,6.1093855,5.7181612,5.9025396,5.9278796,5.8790269,5.9971189,5.9514223,5.6906468,6.0682385,5.7858686,6.173861,6.0618556,6.078844,5.6910576,5.6581432,5.6246237,6.6550814,6.0793679,5.8715447,5.8007408,6.0270538,5.8503592,6.3845938,5.6221426,6.2134446,6.043366,5.9384734
adipate,5.5705555,5.7881565,5.7481371,5.9547306,5.8619098,5.6940714,5.9398002,5.8839763,6.1466335,6.0799314,5.8741505,5.714758,6.0104871,5.821106,6.0044017,5.7570258,5.735505,5.9490014,6.0799055,6.3818288,5.7777499,5.8519451,5.5566408,5.7559634,5.9300301,5.8666229,5.8214817,5.9848507,5.9612771,5.9832993,5.7988208,5.8450271,6.1283842,5.8397203,5.9640678,5.8363007,5.611372,5.9135047,6.2014381,5.6379204,5.7527269,5.8758115,6.0107242,5.8253142,5.9416243,5.8926241,5.5682747,5.9577311,5.8761512,5.7926294,5.7806351,5.8720183,6.0153759,5.7995147,5.8696082,5.7746699,5.9791738,5.8932387,6.0302974,5.7320716,5.7597729,5.9569597,5.6843344,5.9147503,5.6695648,5.8965068,5.8548527,5.8797209,5.7258465,5.9273075,5.9773736,6.1615892,5.6904954,5.7422617,5.9418729,5.8579066,5.8864438,5.8843127,5.8137786,5.7917375,6.0618995,5.9993997,5.8675595,5.8907935,6.031572,5.874771,5.8151194,6.0026682,5.3860702,6.1457582,5.9762429,5.9309359,5.9332422,6.1070473,5.60615,5.9488317,6.2322672,5.8795478,5.6979856,5.7724317,5.9205834,5.7715547,5.8335073,6.1187853,5.8975247,5.5872364,5.6895621,6.0453148,5.4916117,5.5267713,5.6870433,5.8846095,5.5598516,5.8888278,6.1761368,5.7506003,5.9608791,5.9796332,5.9541368,5.7265131,6.3465761,5.8849463,5.7437487,6.114095,6.1326907,6.1759291,5.6760262,5.7619528,5.8086105,6.1309657,5.9771769,5.8343429,6.0616582,5.7625904,6.1112115,6.1892293,6.3713775,5.6016692,5.9708304,5.7596356,5.9520829,5.8949041,5.6859239,5.8948486,5.7121486,5.8543614,6.3262675,5.6551445,5.8576524,5.7274312,6.2773413,5.8105664,5.9062393,5.5564348,5.9482105,6.1901457,5.9873268,5.9823591,6.3532482,5.580887,5.6786675,6.0036784,5.7438005,5.827944,5.8497291,5.5860301,5.8217012,6.2003721,5.8936704
alpha-ketoglutarate,5.9422265,5.7647363,5.8775106,6.1810539,6.2673846,5.4765919,5.6158884,5.5390404,5.0480201,5.8104592,6.3482958,5.8557824,5.8397993,6.0576584,6.0124602,6.1257519,5.8887394,5.8622703,5.7637952,5.691625,5.6375801,5.8327513,6.2264889,5.8963909,6.0314562,5.6778901,5.6813165,5.7385483,5.7461499,5.6157174,5.9887182,5.8825833,5.9343007,5.8404259,5.9504257,5.9359355,6.1088514,5.4955475,6.1568693,5.6122093,6.0943044,5.7021852,6.0552254,5.6712889,5.8625702,5.6825132,6.1120687,5.9167043,6.0064334,5.8674618,6.0569748,5.960001,5.9758296,5.7873897,6.0080884,5.9680441,5.3581543,5.8792521,6.022845,5.9389686,6.1526504,5.6168856,6.0661423,6.0484349,6.2338774,5.7090447,5.9943356,5.6258609,5.8296346,5.9632438,6.2264305,5.9131469,6.0696084,5.9659933,6.0085216,6.0146445,5.9252557,6.0508837,6.1938548,5.9867544,5.7656269,5.5614,5.811288,5.9611576,6.1271527,5.9995874,5.8061367,5.8404102,5.8651118,6.2119282,6.1346212,6.333876,5.907861,6.1429815,6.2240126,5.830329,5.7132843,5.5630403,5.659497,5.9819624,5.5861514,6.468909,5.7527018,5.8529711,6.2337213,6.0941767,5.7608169,6.4384467,5.6723113,6.0203499,6.234934,5.9229815,5.876849,5.6396748,5.96045,5.7231207,5.6329922,5.6740558,5.8593295,5.887596,5.4978441,6.0238454,5.7480496,5.6923383,5.7840542,5.4121323,5.8572314,5.7494683,6.2337823,5.5793201,5.6930736,5.8839763,5.4202019,5.9082153,5.7126582,5.6859539,5.4295376,5.5913902,5.7084512,5.6638751,5.4198602,5.8396398,5.9729374,5.4986671,5.8815793,5.9394249,6.0247498,5.9231784,5.6917616,5.2670864,5.5810071,6.1886521,6.0486051,6.0511267,5.918683,4.968704,5.5567882,5.7920083,5.2987706,5.7786733,5.7000672,5.246786,6.1350244,5.9242555,5.6042936,5.9216561,5.8229554,5.7335036,6.0570696
AMP,6.4095595,6.0383678,5.9980057,5.8209664,5.943682,5.9027625,5.6681296,5.5989108,5.4438884,5.640489,5.4135741,5.8601634,5.8905878,5.8157739,5.7912159,7.2736386,6.0416155,5.5928941,5.450696,5.9903315,5.4483126,5.79686,5.6239564,5.967325,5.9619487,5.5269058,5.6429033,5.8776302,5.7891099,5.6288402,5.9923993,5.7936831,5.6537912,5.7218506,5.7191804,5.7637397,6.0660409,6.2596178,5.6723437,5.7290463,6.2037799,5.6414492,5.6963272,5.8887522,6.3229736,5.9853607,5.8510864,5.7463836,5.9580214,5.607954,5.6256872,5.3889301,6.0527515,5.9984216,5.5757458,6.0379537,5.9418991,5.9300513,5.6034885,5.8286479,5.9720468,5.3668815,5.7560676,5.8457881,5.9827162,5.7982594,5.924879,5.761759,5.8891633,5.9190001,5.9672471,5.715053,5.7153962,5.7180294,5.8260155,6.0357063,5.7795527,5.7248118,5.6997786,5.7549805,5.3931361,5.9268756,5.7552464,6.122627,5.7054324,5.8998924,6.2191685,5.9087807,5.8839763,5.6206176,5.9417435,5.5424104,5.7978992,5.7377303,6.0309288,5.6735992,5.3725293,5.5252412,5.5393433,5.8127548,5.7045337,6.0965696,5.8740595,5.8465642,5.4926369,5.9828379,5.8025399,6.354614,5.7984003,6.0583995,5.7166223,5.955873,5.7893576,5.5020574,6.1122635,6.2385986,5.52326,6.2114998,6.009595,6.9799295,5.5414784,6.2547408,6.8504034,6.1516814,6.122245,5.7963267,6.4212591,6.6096787,6.1433913,5.6646259,5.9237369,6.5401238,6.4656756,6.1602113,6.3735201,6.0736079,5.4771949,7.0296595,6.5541283,7.4696801,6.0155232,5.7426134,6.1699009,6.0106996,7.1194418,6.0131604,6.202738,6.2937837,6.0857951,5.3085109,5.8718844,5.9996179,6.5893257,6.7326318,6.1312699,5.667239,5.6209688,5.4881447,6.2507747,6.4819144,7.2922617,6.7039056,7.0399125,5.9192481,6.9309719,6.2938779,6.4595558,5.8575889,5.4808095
citrate,5.9554144,6.2413643,5.9970815,6.0454093,5.8120419,5.8818583,5.4369486,5.4558257,5.3920009,5.7342982,6.1640334,6.0523513,5.903959,5.9532049,6.1468796,5.8060758,5.8056745,5.6612723,5.8124234,5.0863551,5.6627274,5.8660689,5.7018935,6.1869504,6.0506065,5.7218548,5.6849347,5.606028,5.7764281,5.6927186,6.0766755,5.8519048,5.6500957,5.7805028,5.8667363,5.8944669,6.0833961,5.5888545,5.9083377,6.000723,5.919021,5.9867139,6.1528243,5.3875488,5.7434941,5.811933,6.1067953,6.1304409,5.7761271,5.5532292,5.9894348,5.9142828,6.2314001,,5.8664723,6.2900936,5.8839763,6.1044257,5.8984025,5.6287252,6.0168385,5.6005167,5.9745837,5.560887,6.3045502,5.6532382,5.8988708,5.4201685,6.1342485,5.9122782,5.8100634,5.771845,6.0456555,6.0425805,5.6277046,5.9542865,6.0110563,5.9040777,5.629878,5.5791385,5.8547243,5.9492268,5.9665803,5.4653471,5.9509373,5.7856639,5.5578003,5.997043,5.9978222,6.2552197,5.8877105,6.0304901,5.5226964,5.7383912,6.2271985,5.9324346,5.7111049,5.6660019,5.9100711,5.9614859,5.5941482,6.1846728,6.1038562,5.9611308,5.9442935,6.1315309,5.8915313,6.1940921,6.0037211,5.8115307,5.7570358,5.7304437,5.9913277,5.393763,6.0355148,5.8377993,6.1178043,5.7841239,5.9081714,5.8321752,4.8429207,5.9088302,5.5630237,5.6896389,5.8983129,5.6280525,5.76682,5.4472527,5.9955209,5.5302728,5.6412425,5.8575288,5.664622,6.016095,5.2965312,5.1099399,5.9072526,5.5903137,5.4838872,5.9331782,5.5753649,5.5702079,5.3478957,5.8258033,6.0648129,5.6225702,5.5702851,5.5872078,5.4597529,4.8157648,5.5025105,6.6068915,5.5032169,6.0043811,5.6797518,4.8997099,5.7411525,5.6795293,4.7804768,5.8091232,5.8923364,5.429262,6.1783433,6.0202389,5.7242389,6.0340964,5.7637894,5.3835036,5.7969699
