id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044462481.1,279187022.7,292035177.3,297815136.7,220582290,153129814.1,249161387.4
XP_044507594.1,22648381.95,18745432.07,25272582.24,21247268.16,15374891.87,26126222.29
XP_044484673.1,338483165,261951783.6,229420277,148520724.3,147776037.2,136322562.2
XP_044505044.1,139564424.9,232374883.4,274121265.8,176374061.5,212571819.7,157775589.4
XP_044477777.1,1002078489,1095351800,1099862817,1271314513,1083980179,908164293.4
XP_044468172.1,528069603.5,426152365.9,506156365.5,430815302.4,395179363.4,451219127.7
XP_044472481.1,562308458.5,432640803.8,597451574.6,499788868,463768025.8,543174940.9
XP_044483320.1,166276587,157653580.3,180454567.5,152571864.1,186615880.6,164636079.8
XP_044508706.1,26958194.01,26510138.55,34671724.85,32667034.08,27319209.72,36370264.61
XP_044481453.1,693514833.2,1092590013,1094601077,457634979.7,670253747.7,569547220
XP_044468113.1,98558315.71,155674023.6,146880062.8,102495034.2,144818797.4,135251768.6
XP_044473698.1,686603.6242,401955.0718,575412.4147,6392454.179,5595444.983,1349962.309
XP_044494269.1,1553089.007,1410203.297,1672997.938,1025344.312,3421534.972,1030621.643
XP_044504782.1,63333909.36,59197011.29,72920805.66,43705649.82,48687946.4,54736196.8
XP_044469909.1,253681344.8,288334880.4,216841101.8,231747503.7,257411023.5,207309908.5
XP_044496169.1,17778995.69,6227844.748,3815617.605,4534620.231,2726045.323,3287960.443
XP_044476977.1,707071931.8,381532721.7,429266094.4,408539005.9,304204359,501893962.6
XP_044481236.1,311255630.5,254619462.8,550939712.3,199284697.9,234541844.4,213923375
XP_044473439.1,9413176.611,15915715.28,14633800.61,7243963.586,13927855.41,13990093.31
XP_044468106.1,577766852.4,471939472.6,597622946.1,650512689.3,604607298.6,419902980.9
XP_044506520.1,693198414.4,494177098.1,798034079.9,645873133.4,698379544.7,610164837.6
XP_044464430.1,990217912.6,728672319.7,1120639188,1265034564,1227760667,914778593.4
XP_044482534.1,181825135.4,177418664.8,199149769.3,116330680,139740522,133065829.4
XP_044499754.1,360897264.2,236923663,305501331.5,226432692.1,188796295.4,187213834.6
XP_044484762.1,378075290.8,543345344.6,504711818.2,337156393.3,426658042.6,355945272.9
XP_044486080.1,146777717.1,191784451.7,213073518,98823959.29,216882835.4,200022074
XP_044468156.1,6830649.216,15660235.11,8039699.801,13496611.66,9598392.976,9923822.006
XP_044505063.1,3609084.689,4374959.462,2701417.462,10655112.29,2599455.681,2972594.096
XP_044491918.1,34150523.47,22347319.75,33455124.26,76740703.43,76072334.86,64583272.36
XP_044490194.1,7137336.572,9007494.801,2400663.488,17838492.76,2922194.734,11538282.64
XP_044494100.1,907926678,854135744.6,1104120340,975053368.2,1011634538,1131097450
XP_044472076.1,162293034.3,133645673.8,154797408.3,170522963.2,136979263.8,101859120.4
XP_044501123.1,176443031.7,255184312.5,247062926.6,186613083.7,184244962.3,240079568.1
XP_044485989.1,142228710.1,132222564.8,173184270.2,172178867,125028776.1,201101479.3
XP_044465926.1,328278587.5,486824887.1,452663086,585789512.5,527358718.5,474495237.8
