ids,1cm_1,1cm_2,1cm_3,1cm_4,2cm_1,2cm_2,2cm_3,2cm_4,3cm_1,3cm_2,3cm_3,3cm_4,4cm_1,4cm_2,4cm_3,4cm_4,5cm_1,5cm_2,5cm_3,5cm_4
PaChr1g00003-t1_3,1.536396884,1.80935654,1.014445224,1.775715392,1.780847766,1.932548194,1.389616849,1.989943749,2.240205377,2.065121984,2.267751344,2.240964869,1.936741684,2.006331221,1.792430987,1.783599759,1.085685018,1.052643444,1.309603412,1.790536251
PaChr3g13301-t1_13301,0.755674776,0.775785125,0.775895049,0.772071303,0.741458941,0.76518425,0.760719474,0.768544086,0.765478144,0.762388268,0.759929508,0.742255668,0.758226836,0.759773182,0.989056629,0.762485482,1.345570268,1.085724446,1.057578897,0.762749485
PaChr2g10939-t1_10939,0.847301808,0.909079047,0.814220169,0.866618392,0.779620702,0.811746334,0.772872645,0.821587697,0.917677074,0.977947994,0.849587483,0.90143731,1.428573241,1.470039627,1.290768376,1.174247272,1.235619101,1.171439673,1.423464525,1.845443287
PaChr8g22105-t1_22105,2.368855899,2.018364909,2.877996074,2.088321114,1.801032876,1.472788493,2.030328799,1.849435901,2.447112819,2.058061574,2.093755876,2.246687472,2.918432526,2.962685608,2.544092566,2.169934624,2.125127815,2.331703253,2.647962042,3.29733232
PaChr9g25047-t1_25047,2.048357474,2.051309116,1.916323602,2.105859058,1.571403607,1.609759732,1.479159919,1.598034775,1.70543438,1.602433346,1.419398452,1.592512472,2.703026037,2.711391171,2.46234035,2.239959179,2.26636763,2.197679436,2.620896024,3.208775
PaChr5g17959-t1_17959,3.447719657,3.296934611659999,3.98984134,3.043938783,2.679113782,2.330746369,2.885603302,2.659557077,2.838098175,2.471201774,2.52324296,2.678274542,3.182532288,3.26686034,2.853922886,2.479868273,2.437483195,2.655136652,2.96983091,3.579650835
PaChr2g08639-t1_8639,2.367610985,2.231373801,2.240341122,2.530885242,3.006701827,2.827382539,2.821610806,3.195588479,4.994737136,5.12968875,3.928991246,4.844776212,5.844106489,5.636076452,4.740090943,4.467829589,2.987317231,2.827478359,3.395674167,4.069751953
PaChr3g13766-t1_13766,2.622091185,2.452986966,2.488703581,2.79907908,3.078301661,2.842348848,2.936317371,3.273199557,4.914188652,5.112162792,3.958769957,4.821859201,5.980200365,5.793595611,4.866266179,4.560879437,3.123090146,2.984556533,3.55642611,4.236032892
PaChr2g08215-t1_8215,1.456083297,1.486980398,1.34780937,1.522052165,1.413632563,1.381288608,1.394979622,1.458183694,1.956213153,1.933157045,1.824516198,1.93877597,1.965733547,1.986149376,1.789890156,1.824477783,1.69762794,1.837158937,2.001909414,2.370019684
PaChr4g15194-t1_15194,1.370907441,1.381679183,1.414844496,1.307451553,1.191441127,1.217866046,1.183566221,1.186422815,1.161969696,1.201015784,1.199645879,1.18826301,0.989528085,0.957616202,1.217966907,0.953051183,1.474076627,1.449113705,1.332335151,1.057992299
PaChr6g18862-t1_18862,1.080826113,1.090449663,1.094328304,1.080920903,1.410369188,1.214253322,1.524163065,1.491422937,1.480359301,1.457205048,1.744757065,1.582010297,1.855961904,1.946822705,2.016450687,2.535209226,1.920316966,2.256142197,1.95976372,1.59801811
PaChr1g00699-t1_699,2.224168053,2.233485522,2.149679565,2.196364106,2.32796832,2.187312335,2.338489184,2.341110277,2.433463286,2.514817777,2.726240153,2.628124535,6.866070202,7.069102215,7.140330088,8.199325489,5.009426694,5.210084828,5.859496877,6.703900103
